Manufacturer or brand,Caliber,Model,Serial number,Type,subType,Name of distibutor,Address,Purchase Country,City,Purchase State,Purchase date,Mex Recovery date,Mex Recovery area,US Recovery date,US recovery city,Reference case,Case Number,Case state,Jurisdiction,Indictment date,File date,Notes,PRIO Type,PRIO Type Code,Purchase date assumed,Mex Recovery date assumed,US Recovery date assumed,dblcnt_cenapi
Romarm,7.62x39mm,,,Rifle,,,,US,,,,,,6/3/2016,"Mission, TX",United States v. Solis-Zuniga,7:16-mj-01083,Texas,Southern District of Texas,6/5/2016,6/5/2016,Docket seems to be missing most of the case materials,Rifles/Shotguns - Military,230,,,6/3/16,0
Romarm,7.62x39mm,,,Rifle,,,,US,,,,,,6/3/2016,"Mission, TX",United States v. Solis-Zuniga,7:16-mj-01083,Texas,Southern District of Texas,6/5/2016,6/5/2016,Docket seems to be missing most of the case materials,Rifles/Shotguns - Military,230,,,6/3/16,0
Romarm,7.62x39mm,,,Rifle,,,,US,,,,,,6/3/2016,"Mission, TX",United States v. Solis-Zuniga,7:16-mj-01083,Texas,Southern District of Texas,6/5/2016,6/5/2016,Docket seems to be missing most of the case materials,Rifles/Shotguns - Military,230,,,6/3/16,0
Romarm,7.62x39mm,,,Rifle,,,,US,,,,,,6/3/2016,"Mission, TX",United States v. Solis-Zuniga,7:16-mj-01083,Texas,Southern District of Texas,6/5/2016,6/5/2016,Docket seems to be missing most of the case materials,Rifles/Shotguns - Military,230,,,6/3/16,0
Romarm,7.62x39mm,,,Rifle,,,,US,,,,,,6/3/2016,"Mission, TX",United States v. Solis-Zuniga,7:16-mj-01083,Texas,Southern District of Texas,6/5/2016,6/5/2016,Docket seems to be missing most of the case materials,Rifles/Shotguns - Military,230,,,6/3/16,0
Romarm,7.62x39mm,,,Rifle,,,,US,,,,,,6/3/2016,"Mission, TX",United States v. Solis-Zuniga,7:16-mj-01083,Texas,Southern District of Texas,6/5/2016,6/5/2016,Docket seems to be missing most of the case materials,Rifles/Shotguns - Military,230,,,6/3/16,0
Romarm,7.62x39mm,,,Rifle,,,,US,,,,,,6/3/2016,"Mission, TX",United States v. Solis-Zuniga,7:16-mj-01083,Texas,Southern District of Texas,6/5/2016,6/5/2016,Docket seems to be missing most of the case materials,Rifles/Shotguns - Military,230,,,6/3/16,0
Romarm,7.62x39mm,,,Rifle,,,,US,,,,,,6/3/2016,"Mission, TX",United States v. Solis-Zuniga,7:16-mj-01083,Texas,Southern District of Texas,6/5/2016,6/5/2016,Docket seems to be missing most of the case materials,Rifles/Shotguns - Military,230,,,6/3/16,0
Romarm,7.62x39mm,,,Rifle,,,,US,,,,,,6/3/2016,"Mission, TX",United States v. Solis-Zuniga,7:16-mj-01083,Texas,Southern District of Texas,6/5/2016,6/5/2016,Docket seems to be missing most of the case materials,Rifles/Shotguns - Military,230,,,6/3/16,0
Romarm,7.62x39mm,,,Rifle,,,,US,,,,,,6/3/2016,"Mission, TX",United States v. Solis-Zuniga,7:16-mj-01083,Texas,Southern District of Texas,6/5/2016,6/5/2016,Docket seems to be missing most of the case materials,Rifles/Shotguns - Military,230,,,6/3/16,0
Romarm,7.62x39mm,,,Rifle,,,,US,,,,,,6/3/2016,"Mission, TX",United States v. Solis-Zuniga,7:16-mj-01083,Texas,Southern District of Texas,6/5/2016,6/5/2016,Docket seems to be missing most of the case materials,Rifles/Shotguns - Military,230,,,6/3/16,0
Armalite,.5 BMG,AR-50A1,,Rifle,,Kirkpatrick Guns and Ammo,313 W VILLAGE BLVD #103,US,Laredo,TX,11/24/2015,,,11/24/2015,"Laredo, TX",United States v. Zebadua,5:15-cr-01505,Texas,Southern District of Texas,11/27/2015,11/27/2015,The firarm was originally purchased on www.impactguns.com,Rifles/Shotguns - Military,230,11/24/15,,11/24/15,0
Weatherby,0.243,,VB114791,Rifle,,Academy Sports Outdoors,,US,,,,,,4/7/2015,"Eagle Pass, TX",United States v. Hinojosa,2:15-cr-00469-AM,Texas,Western District of Texas,4/9/2015,4/9/2015,Details on purchase and communications in Exhibit file,Rifles/Shotguns - Military,230,,,4/7/15,0
Berretta,12 guage,,Z29671S,Shotgun,,Academy Sports Outdoors,,US,,,,,,4/7/2015,"Eagle Pass, TX",United States v. Hinojosa,2:15-cr-00469-AM,Texas,Western District of Texas,4/9/2015,4/9/2015,Details on purchase and communications in Exhibit file,Rifles/Shotguns - Military,230,,,4/7/15,0
Century Arms,7.62 x 39mm,VSKA,SV7004071,Rifle,,,,,McAllen,TX,11/5/19,4/28/20,,,,United States v. Cruz,7:20-cr-00080,Texas,Southern District of Texas,1/2/2020,12/5/19,Complaint document contains serial number that matches with weapon in MX trace database.,Rifles/Shotguns - Military,230,,,,1
Century Arms,7.62 x 39mm,VSKA,,Rifle,,,,,,,,,,,,United States v. Cruz,7:20-cr-00080,Texas,Southern District of Texas,1/2/2020,1/2/2020,,Rifles/Shotguns - Military,230,,,,0
Century Arms,7.62 x 39mm,VSKA,,Rifle,,,,,,,,,,,,United States v. Cruz,7:20-cr-00080,Texas,Southern District of Texas,1/2/2020,1/2/2020,,Rifles/Shotguns - Military,230,,,,0
Century Arms,7.62 x 39mm,VSKA,,Rifle,,,,,,,,,,,,United States v. Cruz,7:20-cr-00080,Texas,Southern District of Texas,1/2/2020,1/2/2020,,Rifles/Shotguns - Military,230,,,,0
Century Arms,7.62 x 39mm,VSKA,,Rifle,,,,,,,,,,,,United States v. Cruz,7:20-cr-00080,Texas,Southern District of Texas,1/2/2020,1/2/2020,,Rifles/Shotguns - Military,230,,,,0
Century Arms,7.62 x 39mm,VSKA,,Rifle,,,,,,,,,,,,United States v. Cruz,7:20-cr-00080,Texas,Southern District of Texas,1/2/2020,1/2/2020,,Rifles/Shotguns - Military,230,,,,0
Century Arms,7.62 x 39mm,VSKA,,Rifle,,,,,,,,,,,,United States v. Cruz,7:20-cr-00080,Texas,Southern District of Texas,1/2/2020,1/2/2020,,Rifles/Shotguns - Military,230,,,,0
Century Arms,7.62 x 39mm,VSKA,,Rifle,,,,,,,,,,,,United States v. Cruz,7:20-cr-00080,Texas,Southern District of Texas,1/2/2020,1/2/2020,,Rifles/Shotguns - Military,230,,,,0
Century Arms,7.62 x 39mm,VSKA,,Rifle,,,,,,,,,,,,United States v. Cruz,7:20-cr-00080,Texas,Southern District of Texas,1/2/2020,1/2/2020,,Rifles/Shotguns - Military,230,,,,0
Century Arms,7.62 x 39mm,VSKA,,Rifle,,,,,,,,,,,,United States v. Cruz,7:20-cr-00080,Texas,Southern District of Texas,1/2/2020,1/2/2020,,Rifles/Shotguns - Military,230,,,,0
Century Arms,7.62 x 39mm,VSKA,,Rifle,,,,,,,,,,,,United States v. Cruz,7:20-cr-00080,Texas,Southern District of Texas,1/2/2020,1/2/2020,,Rifles/Shotguns - Military,230,,,,0
Century Arms,7.62 x 39mm,VSKA,,Rifle,,,,,,,,,,,,United States v. Cruz,7:20-cr-00080,Texas,Southern District of Texas,1/2/2020,1/2/2020,,Rifles/Shotguns - Military,230,,,,0
Century Arms,7.62 x 39mm,VSKA,,Rifle,,,,,,,,,,,,United States v. Cruz,7:20-cr-00080,Texas,Southern District of Texas,1/2/2020,1/2/2020,,Rifles/Shotguns - Military,230,,,,0
Century Arms,7.62 x 39mm,VSKA,,Rifle,,,,,,,,,,,,United States v. Cruz,7:20-cr-00080,Texas,Southern District of Texas,1/2/2020,1/2/2020,,Rifles/Shotguns - Military,230,,,,0
Century Arms,7.62 x 39mm,VSKA,,Rifle,,,,,,,,,,,,United States v. Cruz,7:20-cr-00080,Texas,Southern District of Texas,1/2/2020,1/2/2020,,Rifles/Shotguns - Military,230,,,,0
Century Arms,7.62 x 39mm,VSKA,,Rifle,,,,,,,,,,,,United States v. Cruz,7:20-cr-00080,Texas,Southern District of Texas,1/2/2020,1/2/2020,,Rifles/Shotguns - Military,230,,,,0
Century Arms,7.62 x 39mm,VSKA,,Rifle,,,,,,,,,,,,United States v. Cruz,7:20-cr-00080,Texas,Southern District of Texas,1/2/2020,1/2/2020,,Rifles/Shotguns - Military,230,,,,0
Century Arms,7.62 x 39mm,VSKA,,Rifle,,,,,,,,,,,,United States v. Cruz,7:20-cr-00080,Texas,Southern District of Texas,1/2/2020,1/2/2020,,Rifles/Shotguns - Military,230,,,,0
Century Arms,7.62 x 39mm,VSKA,,Rifle,,,,,,,,,,,,United States v. Cruz,7:20-cr-00080,Texas,Southern District of Texas,1/2/2020,1/2/2020,,Rifles/Shotguns - Military,230,,,,0
Century Arms,7.62 x 39mm,VSKA,,Rifle,,,,,,,,,,,,United States v. Cruz,7:20-cr-00080,Texas,Southern District of Texas,1/2/2020,1/2/2020,,Rifles/Shotguns - Military,230,,,,0
Century Arms,7.62 x 39mm,VSKA,,Rifle,,,,,,,,,,,,United States v. Cruz,7:20-cr-00080,Texas,Southern District of Texas,1/2/2020,1/2/2020,,Rifles/Shotguns - Military,230,,,,0
Century Arms,7.62 x 39mm,VSKA,,Rifle,,,,,,,,,,,,United States v. Cruz,7:20-cr-00080,Texas,Southern District of Texas,1/2/2020,1/2/2020,,Rifles/Shotguns - Military,230,,,,0
Century Arms,7.62 x 39mm,VSKA,,Rifle,,,,,,,,,,,,United States v. Cruz,7:20-cr-00080,Texas,Southern District of Texas,1/2/2020,1/2/2020,,Rifles/Shotguns - Military,230,,,,0
Century Arms,7.62 x 39mm,VSKA,,Rifle,,,,,,,,,,,,United States v. Cruz,7:20-cr-00080,Texas,Southern District of Texas,1/2/2020,1/2/2020,,Rifles/Shotguns - Military,230,,,,0
Century Arms,7.62 x 39mm,VSKA,,Rifle,,,,,,,,,,,,United States v. Cruz,7:20-cr-00080,Texas,Southern District of Texas,1/2/2020,1/2/2020,,Rifles/Shotguns - Military,230,,,,0
Century Arms,7.62 x 39mm,VSKA,,Rifle,,,,,,,,,,,,United States v. Cruz,7:20-cr-00080,Texas,Southern District of Texas,1/2/2020,1/2/2020,,Rifles/Shotguns - Military,230,,,,0
Century Arms,7.62 x 39mm,VSKA,,Rifle,,,,,,,,,,,,United States v. Cruz,7:20-cr-00080,Texas,Southern District of Texas,1/2/2020,1/2/2020,,Rifles/Shotguns - Military,230,,,,0
Century Arms,7.62 x 39mm,VSKA,,Rifle,,,,,,,,,,,,United States v. Cruz,7:20-cr-00080,Texas,Southern District of Texas,1/2/2020,1/2/2020,,Rifles/Shotguns - Military,230,,,,0
Century Arms,7.62 x 39mm,VSKA,,Rifle,,,,,,,,,,,,United States v. Cruz,7:20-cr-00080,Texas,Southern District of Texas,1/2/2020,1/2/2020,,Rifles/Shotguns - Military,230,,,,0
Century Arms,7.62 x 39mm,VSKA,,Rifle,,,,,,,,,,,,United States v. Cruz,7:20-cr-00080,Texas,Southern District of Texas,1/2/2020,1/2/2020,,Rifles/Shotguns - Military,230,,,,0
Century Arms,7.62 x 39mm,VSKA,,Rifle,,,,,,,,,,,,United States v. Cruz,7:20-cr-00080,Texas,Southern District of Texas,1/2/2020,1/2/2020,,Rifles/Shotguns - Military,230,,,,0
Century Arms,7.62 x 39mm,VSKA,,Rifle,,,,,,,,,,,,United States v. Cruz,7:20-cr-00080,Texas,Southern District of Texas,1/2/2020,1/2/2020,,Rifles/Shotguns - Military,230,,,,0
Century Arms,7.62 x 39mm,WASR-10,,Rifle,,,,,,,,,,,,United States v. Cruz,7:20-cr-00080,Texas,Southern District of Texas,1/2/2020,1/2/2020,,Rifles/Shotguns - Military,230,,,,0
Century Arms,7.62 x 39mm,WASR-10,,Rifle,,,,,,,,,,,,United States v. Cruz,7:20-cr-00080,Texas,Southern District of Texas,1/2/2020,1/2/2020,,Rifles/Shotguns - Military,230,,,,0
Century Arms,7.62 x 39mm,WASR-10,,Rifle,,,,,,,,,,,,United States v. Cruz,7:20-cr-00080,Texas,Southern District of Texas,1/2/2020,1/2/2020,,Rifles/Shotguns - Military,230,,,,0
Century Arms,7.62 x 39mm,WASR-10,,Rifle,,,,,,,,,,,,United States v. Cruz,7:20-cr-00080,Texas,Southern District of Texas,1/2/2020,1/2/2020,,Rifles/Shotguns - Military,230,,,,0
Century Arms,7.62 x 39mm,WASR-10,,Rifle,,,,,,,,,,,,United States v. Cruz,7:20-cr-00080,Texas,Southern District of Texas,1/2/2020,1/2/2020,,Rifles/Shotguns - Military,230,,,,0
Century Arms,7.62 x 39mm,WASR-10,,Rifle,,,,,,,,,,,,United States v. Cruz,7:20-cr-00080,Texas,Southern District of Texas,1/2/2020,1/2/2020,,Rifles/Shotguns - Military,230,,,,0
Colt,38 super,Government,,Pistol,,,,,,,,,,,,United States v. Cruz,7:20-cr-00080,Texas,Southern District of Texas,1/2/2020,1/2/2020,,Pistols & Revolvers,210,,,,0
Unknown,,AK-47,,Rifle,,,,US,,,,,,,,United States v. Renteria-Andrade,S1 09 Cr. 909,New York,Southern District of New York,10/14/2009,10/14/2009,,Rifles/Shotguns - Military,230,,,,0
Unknown,,AK-47,,Rifle,,,,US,,,,,,,,United States v. Renteria-Andrade,S1 09 Cr. 910,New York,Southern District of New York,10/14/2009,10/14/2009,,Rifles/Shotguns - Military,230,,,,0
Unknown,,AK-47,,Rifle,,,,US,,,,,,,,United States v. Renteria-Andrade,S1 09 Cr. 911,New York,Southern District of New York,10/14/2009,10/14/2009,,Rifles/Shotguns - Military,230,,,,0
Unknown,,AK-47,,Rifle,,,,US,,,,,,,,United States v. Renteria-Andrade,S1 09 Cr. 912,New York,Southern District of New York,10/14/2009,10/14/2009,,Rifles/Shotguns - Military,230,,,,0
Unknown,,M-16,,Assault Rifle,,,,US,,,,,,,,United States v. Renteria-Andrade,S1 09 Cr. 913,New York,Southern District of New York,10/14/2009,10/14/2009,,Assault rifles,233,,,,0
Unknown,,M-16,,Assault Rifle,,,,US,,,,,,,,United States v. Renteria-Andrade,S1 09 Cr. 914,New York,Southern District of New York,10/14/2009,10/14/2009,,Assault rifles,234,,,,0
Unknown,.50,Desert Eagle,,Pistol,,,,US,,,,,,,,United States v. Renteria-Andrade,S1 09 Cr. 915,New York,Southern District of New York,10/14/2009,10/14/2009,,Pistols & Revolvers,210,,,,0
Unknown,.50,Desert Eagle,,Pistol,,,,US,,,,,,,,United States v. Renteria-Andrade,S1 09 Cr. 916,New York,Southern District of New York,10/14/2009,10/14/2009,,Pistols & Revolvers,210,,,,0
Unknown,.45,,,Pistol,,,,US,,,,,,,,United States v. Renteria-Andrade,S1 09 Cr. 917,New York,Southern District of New York,10/14/2009,10/14/2009,,Pistols & Revolvers,210,,,,0
Norinco,7.62 x 39mm,SKS,10256701,Rifle,,,,US,,,,,,1/31/2010,"Atlanta, GA",United States v. Bernal-Perez,1:10-MJ-0126,Georgia,Northern District of Georgia,3/9/10,2/5/10,,Rifles/Shotguns - Military,230,,,01/31/2010,0
Olympic Arms,.223,MER,NE1593,Rifle,,,,US,,,,,,1/31/2010,"Atlanta, GA",United States v. Bernal-Perez,1:10-MJ-0126,Georgia,Northern District of Georgia,3/9/10,2/5/10,,Rifles/Shotguns - Military,230,,,01/31/2010,0
Norinco,7.62 x 39mm,SKS,1613463,Rifle,,,,US,,,,,,1/31/2010,"Atlanta, GA",United States v. Bernal-Perez,1:10-MJ-0126,Georgia,Northern District of Georgia,3/9/10,2/5/10,,Rifles/Shotguns - Military,230,,,01/31/2010,0
Norinco,7.62 x 39mm,SKS,1602151,Rifle,,,,US,,,,,,1/31/2010,"Atlanta, GA",United States v. Bernal-Perez,1:10-MJ-0126,Georgia,Northern District of Georgia,3/9/10,2/5/10,,Rifles/Shotguns - Military,230,,,01/31/2010,0
Glock GMBH,40,23,KZW804,Pistol,,,,US,,,6/6/2007,,,,,United States v. De La Rosa,0:09-cr-00376-ADM-JSM,Minnesota,District of Minnesota,11/17/2009,12/16/2009,"""DE LA ROSA told agents that he bought all of his weapons from 3 different gun dealers: Hart Brothers, Cabelas,
and Scheels Sporting Goods.""",Pistols & Revolvers,210,11/11/2009,,,0
"Beretta, Pietro S.P.A",9,90 TWO,TX00814,Pistol,,,,US,,,6/6/2007,,,,,United States v. De La Rosa,0:09-cr-00376-ADM-JSM,Minnesota,District of Minnesota,11/17/2009,12/16/2009,,Pistols & Revolvers,210,11/11/2009,,,0
"Keltec, CNC Industries, Inc.",32,P32,CBB97,Pistol,,,,US,,,7/24/2007,,,,,United States v. De La Rosa,0:09-cr-00376-ADM-JSM,Minnesota,District of Minnesota,11/17/2009,12/16/2009,"""De La Rosa was arrested on November 16, 2009 in Laredo, Texas, while attempting to re-enter the United States. 
During an inspection of his vehicle, border authorities found 14 firearms, along with 200 rounds of ammunition and $10,000 in cash, hidden in a sofa in the back of his mini van.""",Pistols & Revolvers,210,,,11/16/ 2009,0
Glock GMBH,9,19,KWY824,Pistol,,,,US,,,7/24/2007,,,,,United States v. De La Rosa,0:09-cr-00376-ADM-JSM,Minnesota,District of Minnesota,11/17/2009,12/16/2009,"12 Magazines, 2 Magazines, 1 Magazine, 3 Magazines, 8 Magazines, 1 Magazines, 200 Ammunition Rounds, One Pentax Scope",Pistols & Revolvers,210,,,11/16/ 2009,0
Smith and Wesson,22,41,UBT4629,Pistol,,,,US,,,9/21/2007,,,,,United States v. De La Rosa,0:09-cr-00376-ADM-JSM,Minnesota,District of Minnesota,11/17/2009,12/16/2009,"De La Rosa later admitted he had been conducting similar ""straw purchases"" of firearms since 2007. In fact, from 2007 through November 16, 2009, he purchased more than 100 firearms.",Pistols & Revolvers,210,,,11/16/ 2009,0
"Beretta, USA Corp",9,92,BER462600,Pistol,,,,US,,,9/21/2007,,,,,United States v. De La Rosa,0:09-cr-00376-ADM-JSM,Minnesota,District of Minnesota,11/17/2009,12/16/2009,"De La Rosa also admitted that after buying the weapons, he routinely smuggled them into Mexico. Between 2007 and November 16, 2009, he crossed the U.S.-Mexican border 20 times for that purpose.",Pistols & Revolvers,210,,,11/16/ 2009,0
Glock GMBH,9,19,LGC542,Pistol,,,,US,,,9/26/2007,,,,,United States v. De La Rosa,0:09-cr-00376-ADM-JSM,Minnesota,District of Minnesota,11/17/2009,12/16/2009,"During that time period, he received approximately $70,000, via wire transfers, to pay for the weapons.",Pistols & Revolvers,210,,,11/16/ 2009,0
Bersa,380,THUNDER 380,841382,Pistol,,,,US,,,10/22/2007,,,,,United States v. De La Rosa,0:09-cr-00376-ADM-JSM,Minnesota,District of Minnesota,11/17/2009,12/16/2009,,Pistols & Revolvers,210,,,11/16/ 2009,0
Bersa,380,THUNDER 380,836453,Pistol,,,,US,,,10/22/2007,,,,,United States v. De La Rosa,0:09-cr-00376-ADM-JSM,Minnesota,District of Minnesota,11/17/2009,12/16/2009,,Pistols & Revolvers,210,,,11/16/ 2009,0
Smith and Wesson,9,SIGMA,PDY1182,Pistol,,,,US,,,11/5/2007,,,,,United States v. De La Rosa,0:09-cr-00376-ADM-JSM,Minnesota,District of Minnesota,11/17/2009,12/16/2009,,Pistols & Revolvers,210,,,11/16/ 2009,0
Ruger,9,P89,315-92336,Pistol,,,,US,,,11/5/2007,,,,,United States v. De La Rosa,0:09-cr-00376-ADM-JSM,Minnesota,District of Minnesota,11/17/2009,12/16/2009,,Pistols & Revolvers,210,,,11/16/ 2009,0
"Beretta, USA Corp",32,3032,DAA411019,Pistol,,,,US,,,11/5/2007,,,,,United States v. De La Rosa,0:09-cr-00376-ADM-JSM,Minnesota,District of Minnesota,11/17/2009,12/16/2009,,Rifles/Shotguns - Military,220,,,11/16/ 2009,0
Taurus,9,PT111 MILLENIUM PRO,TAM96072,Pistol,,,,US,,,12/9/2007,,,,,United States v. De La Rosa,0:09-cr-00376-ADM-JSM,Minnesota,District of Minnesota,11/17/2009,12/16/2009,,Rifles/Shotguns - Military,220,,,11/16/ 2009,0
"Beretta, Pietro S.P.A",9,900S,SZ019014,Pistol,,,,US,,,12/9/2007,,,,,United States v. De La Rosa,0:09-cr-00376-ADM-JSM,Minnesota,District of Minnesota,11/17/2009,12/16/2009,,Rifles/Shotguns - Military,220,,,11/16/ 2009,0
FN Herstal,57,57,386146722,Pistol,,,,US,,,12/9/2007,,,,,United States v. De La Rosa,0:09-cr-00376-ADM-JSM,Minnesota,District of Minnesota,11/17/2009,12/16/2009,,Rifles/Shotguns - Military,220,,,11/16/ 2009,0
"Beretta, Pietro S.P.A",9,9000F,SZ018571,Pistol,,,,US,,,12/20/2007,,,,,United States v. De La Rosa,0:09-cr-00376-ADM-JSM,Minnesota,District of Minnesota,11/17/2009,12/16/2009,,Assault rifles,233,,,11/16/ 2009,0
"Beretta, USA Corp",32,3032,DAA429846,Pistol,,,,US,,,12/20/2007,,,,,United States v. De La Rosa,0:09-cr-00376-ADM-JSM,Minnesota,District of Minnesota,11/17/2009,12/16/2009,,Pistols & Revolvers,210,06/06/2007,,,0
Bersa,380,THUNDER 380,836486,Pistol,,,,US,,,2/7/2008,,,,,United States v. De La Rosa,0:09-cr-00376-ADM-JSM,Minnesota,District of Minnesota,11/17/2009,12/16/2009,,Pistols & Revolvers,210,06/06/2007,,,0
"Beretta, Pietro S.P.A",40,900S,SN022725,Pistol,,,,US,,,2/7/2008,,,,,United States v. De La Rosa,0:09-cr-00376-ADM-JSM,Minnesota,District of Minnesota,11/17/2009,12/16/2009,,Pistols & Revolvers,210,07/24/2007,,,0
FN Herstal,57,57,386150644,Pistol,,,,US,,,2/7/2008,,,,,United States v. De La Rosa,0:09-cr-00376-ADM-JSM,Minnesota,District of Minnesota,11/17/2009,12/16/2009,,Pistols & Revolvers,210,07/24/2007,,,0
Browning,380,BDA380,425MY00537,Pistol,,,,US,,,4/17/2008,,,,,United States v. De La Rosa,0:09-cr-00376-ADM-JSM,Minnesota,District of Minnesota,11/17/2009,12/16/2009,,Pistols & Revolvers,210,09/21/2007,,,0
FN Herstal,57,57,386149077,Pistol,,,,US,,,4/17/2008,,,,,United States v. De La Rosa,0:09-cr-00376-ADM-JSM,Minnesota,District of Minnesota,11/17/2009,12/16/2009,,Pistols & Revolvers,210,09/21/2007,,,0
FN Herstal,57,57,386146841,Pistol,,,,US,,,4/17/2008,,,,,United States v. De La Rosa,0:09-cr-00376-ADM-JSM,Minnesota,District of Minnesota,11/17/2009,12/16/2009,,Pistols & Revolvers,210,09/26/2007,,,0
North American Arms,22,NAA22,L090987,Revolver,,,,US,,,7/18/2008,,,,,United States v. De La Rosa,0:09-cr-00376-ADM-JSM,Minnesota,District of Minnesota,11/17/2009,12/16/2009,,Pistols & Revolvers,210,10/22/2007,,,0
SIG (Swiss Industrial Group),380,P232,S279401,Pistol,,,,US,,,7/18/2008,,,,,United States v. De La Rosa,0:09-cr-00376-ADM-JSM,Minnesota,District of Minnesota,11/17/2009,12/16/2009,,Pistols & Revolvers,210,10/22/2007,,,0
CZ (Ceska Zbrojovka),9,CZ2075 RAMI,A457285,Pistol,,,,US,,,7/18/2008,,,,,United States v. De La Rosa,0:09-cr-00376-ADM-JSM,Minnesota,District of Minnesota,11/17/2009,12/16/2009,,Pistols & Revolvers,210,11/05/2007,,,0
FN Herstal,57,57,386152313,Pistol,,,,US,,,7/18/2008,,,,,United States v. De La Rosa,0:09-cr-00376-ADM-JSM,Minnesota,District of Minnesota,11/17/2009,12/16/2009,,Pistols & Revolvers,210,11/05/2007,,,0
"Beretta, Pietro S.P.A",9,900S,SZ019031,Pistol,,,,US,,,8/14/2008,,,,,United States v. De La Rosa,0:09-cr-00376-ADM-JSM,Minnesota,District of Minnesota,11/17/2009,12/16/2009,,Pistols & Revolvers,210,11/05/2007,,,0
FN Herstal,57,57,386138613,Pistol,,,,US,,,8/14/2008,,,,,United States v. De La Rosa,0:09-cr-00376-ADM-JSM,Minnesota,District of Minnesota,11/17/2009,12/16/2009,,Pistols & Revolvers,210,12/09/2007,,,0
"Cobra Enterprises, Inc.",22,C22,33124,Derringer,,,,US,,,8/15/2008,,,,,United States v. De La Rosa,0:09-cr-00376-ADM-JSM,Minnesota,District of Minnesota,11/17/2009,12/16/2009,,Pistols & Revolvers,210,12/09/2007,,,0
North American Arms,22,NAA22,E141883,Revolver,,,,US,,,8/15/2008,,,,,United States v. De La Rosa,0:09-cr-00376-ADM-JSM,Minnesota,District of Minnesota,11/17/2009,12/16/2009,,Pistols & Revolvers,210,12/09/2007,,,0
Browning,380,BDA380,425MY01048,Pistol,,,,US,,,8/15/2008,,,,,United States v. De La Rosa,0:09-cr-00376-ADM-JSM,Minnesota,District of Minnesota,11/17/2009,12/16/2009,,Pistols & Revolvers,210,12/20/2007,,,0
FN Herstal,57,57,386154675,Pistol,,,,US,,,9/30/2008,,,,,United States v. De La Rosa,0:09-cr-00376-ADM-JSM,Minnesota,District of Minnesota,11/17/2009,12/16/2009,,Pistols & Revolvers,210,12/20/2007,,,0
FN Herstal,57,57,386143135,Pistol,,,,US,,,9/30/2008,,,,,United States v. De La Rosa,0:09-cr-00376-ADM-JSM,Minnesota,District of Minnesota,11/17/2009,12/16/2009,,Pistols & Revolvers,210,02/07/2008,,,0
FN Herstal,57,57,386175050,Pistol,,,,US,,,10/28/2008,,,,,United States v. De La Rosa,0:09-cr-00376-ADM-JSM,Minnesota,District of Minnesota,11/17/2009,12/16/2009,,Pistols & Revolvers,210,02/07/2008,,,0
FN Herstal,57,57,386175045,Pistol,,,,US,,,10/28/2008,,,,,United States v. De La Rosa,0:09-cr-00376-ADM-JSM,Minnesota,District of Minnesota,11/17/2009,12/16/2009,,Pistols & Revolvers,210,02/07/2008,,,0
FN Herstal,57,57,386147265,Pistol,,,,US,,,11/26/2008,,,,,United States v. De La Rosa,0:09-cr-00376-ADM-JSM,Minnesota,District of Minnesota,11/17/2009,12/16/2009,,Pistols & Revolvers,210,04/17/2008,,,0
Browning,380,BDA380,425MY00736,Pistol,,,,US,,,11/26/2008,,,,,United States v. De La Rosa,0:09-cr-00376-ADM-JSM,Minnesota,District of Minnesota,11/17/2009,12/16/2009,,Pistols & Revolvers,210,04/17/2008,,,0
FN Herstal,57,57,386138243,Pistol,,,,US,,,12/17/2008,,,,,United States v. De La Rosa,0:09-cr-00376-ADM-JSM,Minnesota,District of Minnesota,11/17/2009,12/16/2009,,Pistols & Revolvers,210,04/17/2008,,,0
FN Herstal,57,57,386138333,Pistol,,,,US,,,12/17/2008,,,,,United States v. De La Rosa,0:09-cr-00376-ADM-JSM,Minnesota,District of Minnesota,11/17/2009,12/16/2009,,Pistols & Revolvers,210,07/18/2008,,,0
North American Arms,22,NAA22,L098296,Revolver,,,,US,,,12/18/2008,,,,,United States v. De La Rosa,0:09-cr-00376-ADM-JSM,Minnesota,District of Minnesota,11/17/2009,12/16/2009,,Pistols & Revolvers,210,07/18/2008,,,0
Beretta,32,3032,DAA450912,Pistol,,,,US,,,12/18/2008,,,,,United States v. De La Rosa,0:09-cr-00376-ADM-JSM,Minnesota,District of Minnesota,11/17/2009,12/16/2009,,Pistols & Revolvers,210,07/18/2008,,,0
Bersa,380,THUNDER 380,937964,Pistol,,,,US,,,12/18/2008,,,,,United States v. De La Rosa,0:09-cr-00376-ADM-JSM,Minnesota,District of Minnesota,11/17/2009,12/16/2009,,Pistols & Revolvers,210,07/18/2008,,,0
FN Herstal,57,57,386176227,Pistol,,,,US,,,12/19/2008,,,,,United States v. De La Rosa,0:09-cr-00376-ADM-JSM,Minnesota,District of Minnesota,11/17/2009,12/16/2009,,Pistols & Revolvers,210,08/14/2008,,,0
FN Herstal,57,57,386175786,Pistol,,,,US,,,2/12/2009,,,,,United States v. De La Rosa,0:09-cr-00376-ADM-JSM,Minnesota,District of Minnesota,11/17/2009,12/16/2009,,Pistols & Revolvers,210,08/14/2008,,,0
FN Herstal,57,57,386178828,Pistol,,,,US,,,2/12/2009,,,,,United States v. De La Rosa,0:09-cr-00376-ADM-JSM,Minnesota,District of Minnesota,11/17/2009,12/16/2009,,Pistols & Revolvers,210,08/15/2008,,,0
