Manufacturer or brand,Caliber,Model,Serial number,Type,subType,Name of distibutor,Address,Purchase Country,City,Purchase State,Purchase date,Mex Recovery date,Mex Recovery area,US Recovery date,US recovery city,Reference case,Case Number,Case state,Jurisdiction,Indictment date,File date,Notes,PRIO Type,PRIO Type Code,Purchase date assumed,Mex Recovery date assumed,US Recovery date assumed,dblcnt_cenapi
Taurus,9mm,Silver PT 92,TKC86906,Pistol,,,,US,,,,,,1/27/2021,"San Jose, CA, USA","UNITED STATES OF AMERICA, V. DAVID CAMPOY et al",CR-20-00458,California,NORTHERN DISTRICT OF CALIFORNIA,2/4/2021,2/4/2021,"Model ISales located ni Whitewright, Texas is named in the indictment for selling parts but no trace of firearms explicitly apparent.",Pistols & Revolvers,210,,,1/27/21,0
Berreta,9mm,Nano,NUO51426,Pistol,Compact,,,US,,,,,,1/27/2021,"San Jose, CA, USA","UNITED STATES OF AMERICA, V. DAVID CAMPOY et al",CR-20-00458,California,NORTHERN DISTRICT OF CALIFORNIA,2/4/2021,2/4/2021,"Model ISales located ni Whitewright, Texas is named in the indictment for selling parts but no trace of firearms explicitly apparent.",Pistols & Revolvers,210,,,1/27/21,0
Colt,.45 ACP,Gold 1911,896313,Pistol,,,,US,,,,,,1/27/2021,"San Jose, CA, USA","UNITED STATES OF AMERICA, V. DAVID CAMPOY et al",CR-20-00458,California,NORTHERN DISTRICT OF CALIFORNIA,2/4/2021,2/4/2021,"Model ISales located ni Whitewright, Texas is named in the indictment for selling parts but no trace of firearms explicitly apparent.",Pistols & Revolvers,210,,,1/27/21,0
Glock,9mm,34 Gen 4,YET956,Pistol,,,,US,,,,,,1/27/2021,"San Jose, CA, USA","UNITED STATES OF AMERICA, V. DAVID CAMPOY et al",CR-20-00458,California,NORTHERN DISTRICT OF CALIFORNIA,2/4/2021,2/4/2021,"Model ISales located ni Whitewright, Texas is named in the indictment for selling parts but no trace of firearms explicitly apparent.",Pistols & Revolvers,210,,,1/27/21,0
Rock Island Armory,,M1911,RIA1350504,Pistol,,,,US,,,,,,1/27/2021,"San Jose, CA, USA","UNITED STATES OF AMERICA, V. DAVID CAMPOY et al",CR-20-00458,California,NORTHERN DISTRICT OF CALIFORNIA,2/4/2021,2/4/2021,"Model ISales located ni Whitewright, Texas is named in the indictment for selling parts but no trace of firearms explicitly apparent.",Pistols & Revolvers,210,,,1/27/21,0
Heckler & Koch,0.4,USP Compact,26-068582,Pistol,Compact,,,US,,,,,,1/27/2021,"San Jose, CA, USA","UNITED STATES OF AMERICA, V. DAVID CAMPOY et al",CR-20-00458,California,NORTHERN DISTRICT OF CALIFORNIA,2/4/2021,2/4/2021,"Model ISales located ni Whitewright, Texas is named in the indictment for selling parts but no trace of firearms explicitly apparent.",Pistols & Revolvers,210,,,1/27/21,0
Fabrique Nationale,5.7×28mm,Five-Seven,386317105,Pistol,,,,US,,,,,,1/27/2021,"San Jose, CA, USA","UNITED STATES OF AMERICA, V. DAVID CAMPOY et al",CR-20-00459,California,NORTHERN DISTRICT OF CALIFORNIA,2/4/2021,2/4/2021,"Model ISales located ni Whitewright, Texas is named in the indictment for selling parts but no trace of firearms explicitly apparent.",Pistols & Revolvers,210,,,1/27/21,0
Century Arms,7.62x39mm,,,Rifle,,Northwest Armory,12632 SE MCLOUGHLIN BLVD,US,MILWAUKIE,OR,12/2/2013,,,,,United States of America v. Erik Flores Elortegui,6:15-cr-00341-AA,Oregon,District of Oregon,9/16/2015,9/16/2015,,Rifles/Shotguns - Military,230,12/2/13,7/8/14,,0
Century Arms,7.62x39mm,,,Rifle,,Northwest Armory,12633 SE MCLOUGHLIN BLVD,US,MILWAUKIE,OR,12/2/2013,,,,,United States of America v. Erik Flores Elortegui,6:15-cr-00341-AA,Oregon,District of Oregon,9/16/2015,9/16/2015,,Rifles/Shotguns - Military,230,12/2/13,7/8/14,,0
Century Arms,7.62x39mm,,,Rifle,,Northwest Armory,12634 SE MCLOUGHLIN BLVD,US,MILWAUKIE,OR,12/2/2013,,,,,United States of America v. Erik Flores Elortegui,6:15-cr-00341-AA,Oregon,District of Oregon,9/16/2015,9/16/2015,,Rifles/Shotguns - Military,230,12/2/13,7/8/14,,0
Colt,0.38,1911 Super,,Pistol,,Northwest Armory,12635 SE MCLOUGHLIN BLVD,US,MILWAUKIE,OR,12/2/2013,,,,,United States of America v. Erik Flores Elortegui,6:15-cr-00341-AA,Oregon,District of Oregon,9/16/2015,9/16/2015,,Pistols & Revolvers,210,12/2/13,7/8/14,,0
Bushmaster,0.308,,,Rifle,,Sportsman's Warehouse,,US,,OR,12/3/2013,,,,,United States of America v. Erik Flores Elortegui,6:15-cr-00341-AA,Oregon,District of Oregon,9/16/2015,9/16/2015,,Rifles/Shotguns - Military,230,12/3/13,7/8/14,,0
CMMG,7.62mm,,,lower receiver,,Tactical Ordnance,504 Milton Way #100,US,St Helens,OR,12/20/2013,,,,,United States of America v. Erik Flores Elortegui,6:15-cr-00341-AA,Oregon,District of Oregon,9/16/2015,9/16/2015,,Parts of military rifles,513,12/20/13,7/8/14,,0
Barrett,0.5,82A,,Sniper Rifle,,Northwest Armory,12635 SE MCLOUGHLIN BLVD,US,MILWAUKIE,OR,12/24/2013,,,,,United States of America v. Erik Flores Elortegui,6:15-cr-00341-AA,Oregon,District of Oregon,9/16/2015,9/16/2015,,Sniper rifles,235,12/24/13,7/8/14,,0
Colt,0.38,Aztec Gold Super,,Pistol,,Tigard Pawn,11940 SW Pacific Hwy Ste A,US,Tigard,OR,3/12/2014,,,,,United States of America v. Erik Flores Elortegui,6:15-cr-00341-AA,Oregon,District of Oregon,9/16/2015,9/16/2015,,Pistols & Revolvers,210,3/12/14,7/8/14,,0
Fabrique Nationale,5.7×28mm,PS90,,Rifle,,Curt's Discount Guns,17843 SE McLoughlin Blvd,US,MILWAUKIE,OR,4/30/2014,,,,,United States of America v. Erik Flores Elortegui,6:15-cr-00341-AA,Oregon,District of Oregon,9/16/2015,9/16/2015,,Rifles/Shotguns - Military,230,4/30/14,7/8/14,,0
